Punto Venta,Fecha Venta,Producto,Clave Gen‚rica,Clave SAT,UM SAT,Descripcion Producto,Cantidad,Importe,Costo,Importe Costo
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,40,138.92,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,02/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,32,186.24,1.6093,51.4976
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,22,128.04,1.6093,35.4046
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,37,168.4,1.6093,59.5441
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,C360 RED,FC0010,53131607,GRM,BASE CABALLERO ROJO DE FRAICHE,22,128.04,1.6093,35.4046
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,C360BLUE,FC0011,53131607,GRM,BASE TIHOSUCO DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,18/09/2022,C360BLUE,FC0011,53131607,GRM,BASE TIHOSUCO DE FRAICHE,18,104.76,1.6093,28.9674
K945 - LUCIO COLLINS DE LA ROSA,07/09/2022,C360BLUE,FC0011,53131607,GRM,BASE TIHOSUCO DE FRAICHE,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,07/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,29,168.78,1.6093,46.6697
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,30,174.6,1.6093,48.279
K945 - LUCIO COLLINS DE LA ROSA,02/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,30,174.6,1.6093,48.279
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,24,139.68,1.6093,38.6232
K945 - LUCIO COLLINS DE LA ROSA,04/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,11,64.02,1.6093,17.7023
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,12,69.84,1.6093,19.3116
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,5,29.1,1.6093,8.0465
K945 - LUCIO COLLINS DE LA ROSA,08/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,38,221.16,1.6093,61.1534
K945 - LUCIO COLLINS DE LA ROSA,11/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,54,314.28,1.6093,86.9022
K945 - LUCIO COLLINS DE LA ROSA,18/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,20/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,119,434.4,1.6093,191.5067
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,21/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,16,93.12,1.6093,25.7488
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,9,52.37,1.6093,14.4837
K945 - LUCIO COLLINS DE LA ROSA,16/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,22/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,CADVENTURE CREED,FC0555,53131607,GRM,BASE ADVENTURE DE FRAICHE,65,378.3,1.6093,104.6045
K945 - LUCIO COLLINS DE LA ROSA,26/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,40,138.92,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,5,29.1,1.6093,8.0465
K945 - LUCIO COLLINS DE LA ROSA,20/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,1,5.82,1.6093,1.6093
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,08/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,6,20.83,1.6093,9.6558
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,4,23.28,1.6093,6.4372
K945 - LUCIO COLLINS DE LA ROSA,02/09/2022,CANIMAL,FC0028,53131607,GRM,BASE CANIBAL DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,7,24.31,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,05/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,18/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,47,273.54,1.6093,75.6371
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,16/09/2022,CAQUA DI GIO PROFU,FC0559,53131607,GRM,BASE OTELO PROFUNDO DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,19/09/2022,CAQUA G ABSOLU,FC0527,53131607,GRM,BASE OTELO ABSOLUTO DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,CAQUA G ABSOLU,FC0527,53131607,GRM,BASE OTELO ABSOLUTO DE FRAICHE,9,31.26,1.6093,14.4837
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,05/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,18,104.76,1.6093,28.9674
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,37,168.4,1.6093,59.5441
K945 - LUCIO COLLINS DE LA ROSA,04/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,32,134.61,1.6093,51.4976
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,54,220.4,1.6093,86.9022
K945 - LUCIO COLLINS DE LA ROSA,12/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,15,52.1,1.6093,24.1395
K945 - LUCIO COLLINS DE LA ROSA,19/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,3,17.46,1.6093,4.8279
K945 - LUCIO COLLINS DE LA ROSA,21/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,33,192.06,1.6093,53.1069
K945 - LUCIO COLLINS DE LA ROSA,16/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,27,110.2,1.6093,43.4511
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,32,139.3,1.6093,51.4976
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,31,133.48,1.6093,49.8883
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,CAQUA GIO,FC0032,53131607,GRM,BASE OTELO DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,21/09/2022,CARAMIS T.,FC0040,53131607,GRM,BASE AMARIS DE FRAICHE,6,34.92,1.6093,9.6558
K945 - LUCIO COLLINS DE LA ROSA,07/09/2022,CARAMIS T.,FC0040,53131607,GRM,BASE AMARIS DE FRAICHE,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,05/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,76,442.32,1.6093,122.3068
K945 - LUCIO COLLINS DE LA ROSA,04/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,21,122.22,1.6093,33.7953
K945 - LUCIO COLLINS DE LA ROSA,01/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,26,151.32,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,31,180.42,1.6093,49.8883
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,18/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,13,75.66,1.6093,20.9209
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,CARMANI BLACK CODE,FC0043,53131607,GRM,BASE ANXELLI MF11713 DE  FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,21/09/2022,CARMANICODEABSOLU,FC0540,53131607,GRM,BASE HOMBRE ABSOLU DE FRAICHE,25,145.5,1.6093,40.2325
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CARMANICODEABSOLU,FC0540,53131607,GRM,BASE HOMBRE ABSOLU DE FRAICHE,2,11.64,1.6093,3.2186
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,CARMANICODECOLONIA,FC0506,53131607,GRM,BASE HOMME COLONIA DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,CAZZARO,FC0049,53131607,GRM,BASE LORIS DE FRAICHE,13,75.66,1.6093,20.9209
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,8,46.56,1.6093,12.8744
K945 - LUCIO COLLINS DE LA ROSA,12/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,14,81.48,1.6093,22.5302
K945 - LUCIO COLLINS DE LA ROSA,05/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,26,151.32,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,21/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,26,151.32,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,18/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,30,174.6,1.6093,48.279
K945 - LUCIO COLLINS DE LA ROSA,26/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,42,239.75,1.6093,67.5906
K945 - LUCIO COLLINS DE LA ROSA,22/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,CBAD BOY CH,FC0547,53131607,GRM,BASE BAD GUY DE FRAICHE,56,325.92,1.6093,90.1208
K945 - LUCIO COLLINS DE LA ROSA,19/09/2022,CBAD BOY LE PARFUM,FC0613,53131607,GRM,BASE LE BAD DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CBAD BOY LE PARFUM,FC0613,53131607,GRM,BASE LE BAD DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CBAD DIESEL,FC0492,53131607,GRM,BASE BAD BOY DE FRAICHE,11,64.02,1.6093,17.7023
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,CBLACKXS PACO RAB,FC0062,53131607,GRM,BASE CRUZ NEGRA DE FRAICHE,33,192.06,1.6093,53.1069
K945 - LUCIO COLLINS DE LA ROSA,03/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,07/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,06/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,37,215.34,1.6093,59.5441
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,21,122.22,1.6093,33.7953
K945 - LUCIO COLLINS DE LA ROSA,08/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,32,132.25,1.6093,51.4976
K945 - LUCIO COLLINS DE LA ROSA,14/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,26,113.76,1.6093,41.8418
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,20,69.46,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,17,98.94,1.6093,27.3581
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,15/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,25/09/2022,CBLEU,FC0063,53131607,GRM,BASE BLEU CLUB DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,CBLUE JEAN,FC0065,53131607,GRM,BASE LEVIS DE FRAICHE,9,52.37,1.6093,14.4837
K945 - LUCIO COLLINS DE LA ROSA,08/09/2022,CBLUE JEAN,FC0065,53131607,GRM,BASE LEVIS DE FRAICHE,20,116.4,1.6093,32.186
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CBLUE JEAN,FC0065,53131607,GRM,BASE LEVIS DE FRAICHE,7,31.36,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,10/09/2022,CBOSS,FC0069,53131607,GRM,BASE THE BOSS DE FRAICHE,102,593.64,1.6093,164.1486
K945 - LUCIO COLLINS DE LA ROSA,22/09/2022,CBOSS,FC0069,53131607,GRM,BASE THE BOSS DE FRAICHE,40,232.8,1.6093,64.372
K945 - LUCIO COLLINS DE LA ROSA,24/09/2022,CBOSS,FC0069,53131607,GRM,BASE THE BOSS DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,17/09/2022,CBOSS,FC0069,53131607,GRM,BASE THE BOSS DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,23/09/2022,CBOSS,FC0069,53131607,GRM,BASE THE BOSS DE FRAICHE,17,98.94,1.6093,27.3581
K945 - LUCIO COLLINS DE LA ROSA,13/09/2022,CBOSS ORANGE MAN,FC0072,53131607,GRM,BASE ORANGE MAN DE FRAICHE,17,98.94,1.6093,27.3581
K945 - LUCIO COLLINS DE LA ROSA,02/09/2022,CBOSS ORANGE MAN,FC0072,53131607,GRM,BASE ORANGE MAN DE FRAICHE,23,133.86,1.6093,37.0139
K945 - LUCIO COLLINS DE LA ROSA,11/09/2022,CBOSS THE SCENT,FC0473,53131607,GRM,BASE LA FRAGANCIA DEL BOSS DE FRAICHE,1,5.82,1.6093,1.6093
K945 - LUCIO COLLINS DE LA ROSA,20/09/2022,CBOSS THE SCENT,FC0473,53131607,GRM,BASE LA FRAGANCIA DEL BOSS DE FRAICHE,17,98.94,1.6093,27.3581
K945 - LUCIO COLLINS DE LA ROSA,09/09/2022,CBOSSBOT INFINITE,FC0548,53131607,GRM,BASE H.B. ETERNO DE FRAICHE,7,40.74,1.6093,11.2651
K945 - LUCIO COLLINS DE LA ROSA,08/09/2022,CBOSSBOT INFINITE,FC0548,53131607,GRM,BASE H.B. ETERNO DE FRAICHE,10,58.2,1.6093,16.093
K945 - LUCIO COLLINS DE LA ROSA,11/09/2022,CBOSSBOTTLABSOLUTE,FC0558,53131607,GRM,BASE H.B. ABSOLUTE DE FRAICHE,3,17.46,1.6093,4.8279
